diag_2,count,percentage
276,5131,6.63
428,5008,6.48
250,4710,6.09
427,3783,4.89
401,2841,3.67
599,2495,3.23
496,2449,3.17
403,2168,2.8
414,2007,2.6
411,1946,2.52
250.02,1614,2.09
707,1510,1.95
585,1401,1.81
584,1261,1.63
285,1158,1.5
250.01,1156,1.49
491,1154,1.49
780,1152,1.49
682,1098,1.42
425,1092,1.41
486,1044,1.35
518,1000,1.29
424,812,1.05
413,786,1.02
250.6,700,0.91
493,653,0.84
305,547,0.71
786,482,0.62
280,459,0.59
998,439,0.57
410,426,0.55
785,398,0.51
511,374,0.48
38,360,0.47
996,343,0.44
272,326,0.42
571,320,0.41
197,317,0.41
162,317,0.41
41,311,0.4
295,308,0.4
560,305,0.39
440,305,0.39
V45,304,0.39
577,296,0.38
788,294,0.38
,273,0.35
997,273,0.35
453,270,0.35
578,270,0.35
402,264,0.34
648,259,0.33
789,256,0.33
198,250,0.32
574,242,0.31
287,241,0.31
426,237,0.31
799,236,0.31
530,223,0.29
303,216,0.28
278,208,0.27
70,202,0.26
V42,198,0.26
438,192,0.25
250.41,180,0.23
730,179,0.23
591,175,0.23
342,170,0.22
250.03,170,0.22
492,166,0.21
250.8,163,0.21
112,163,0.21
404,160,0.21
790,160,0.21
250.92,159,0.21
196,157,0.2
787,155,0.2
733,153,0.2
8,151,0.2
784,150,0.19
434,148,0.19
535,145,0.19
507,145,0.19
536,140,0.18
569,140,0.18
250.82,136,0.18
202,135,0.17
710,130,0.17
396,130,0.17
304,129,0.17
515,127,0.16
296,125,0.16
458,124,0.16
284,123,0.16
250.4,122,0.16
263,120,0.16
V85,120,0.16
294,116,0.15
V58,115,0.15
244,114,0.15
300,110,0.14
348,108,0.14
590,107,0.14
433,107,0.14
722,106,0.14
V43,106,0.14
728,104,0.13
724,104,0.13
715,104,0.13
562,101,0.13
250.7,97,0.13
V15,97,0.13
593,92,0.12
340,91,0.12
781,89,0.12
135,89,0.12
204,88,0.11
558,87,0.11
E885,86,0.11
E878,85,0.11
466,84,0.11
331,83,0.11
250.13,82,0.11
153,81,0.1
482,81,0.1
V10,80,0.1
995,80,0.1
286,80,0.1
444,80,0.1
415,79,0.1
412,78,0.1
242,77,0.1
250.42,77,0.1
435,77,0.1
416,76,0.1
203,76,0.1
E888,75,0.1
250.12,73,0.09
567,73,0.09
157,72,0.09
250.81,70,0.09
729,69,0.09
553,69,0.09
292,69,0.09
805,66,0.09
719,66,0.09
731,65,0.08
250.11,62,0.08
357,61,0.08
572,61,0.08
311,61,0.08
397,61,0.08
42,61,0.08
456,60,0.08
443,59,0.08
291,59,0.08
576,59,0.08
782,58,0.07
581,58,0.07
293,58,0.07
V54,57,0.07
592,57,0.07
564,57,0.07
437,55,0.07
288,54,0.07
250.51,51,0.07
V62,51,0.07
575,51,0.07
V12,49,0.06
595,49,0.06
250.5,49,0.06
344,49,0.06
301,49,0.06
277,49,0.06
255,48,0.06
568,47,0.06
205,47,0.06
596,46,0.06
337,45,0.06
721,44,0.06
211,44,0.06
794,44,0.06
820,44,0.06
723,44,0.06
250.52,43,0.06
309,41,0.05
290,41,0.05
189,41,0.05
465,40,0.05
459,39,0.05
490,38,0.05
512,38,0.05
282,38,0.05
441,38,0.05
332,37,0.05
573,37,0.05
531,37,0.05
552,36,0.05
E849,36,0.05
345,36,0.05
625,36,0.05
253,35,0.05
808,35,0.05
711,33,0.04
154,33,0.04
250.83,32,0.04
398,31,0.04
V49,31,0.04
481,31,0.04
218,31,0.04
618,31,0.04
250.22,31,0.04
807,30,0.04
E932,30,0.04
289,30,0.04
473,30,0.04
557,29,0.04
250.43,29,0.04
873,29,0.04
446,29,0.04
155,29,0.04
600,29,0.04
150,29,0.04
681,28,0.04
812,28,0.04
275,28,0.04
714,28,0.04
53,27,0.03
999,26,0.03
327,26,0.03
451,26,0.03
429,26,0.03
850,25,0.03
